2026-03-05,5549 Ladytown Ln,76036,269500,3,2,1674,1900,14,PASS
2026-03-04,4413 Wellesley Ave,76107,225000,2,1,817,1761,190,PASS
2026-03-04,5933 Diaz Ave,76107,149500,2,1,752,1761,607,PASS
2026-03-04,2505 Bomar Ave,76103,135000,2,1,741,1700,657,PASS
2026-03-04,928 Hackamore St,76133,214999,4,2,1190,2237,483,PASS
2026-03-04,5909 Sandra Dr,76123,250000,3,2,1204,2322,333,PASS
2026-03-04,3905 London Ln,76118,230000,2,2,1512,1700,132,PASS
2026-03-05,4321 Sweetgum Way,76133,253000,3,2,1502,2034,172,PASS
2026-03-05,6037 Highcrest Dr,76148,240000,3,2,1152,1700,77,PASS
2026-03-06,6037 Highcrest Dr,76148,240000,3,2,1152,1700,77,PASS
2026-03-06,4621 Riverpark Dr,76120,239000,3,2,1238,1750,107,PASS
2026-03-06,456 Little Valley Ct,76131,224900,2,2,915,1799,212,PASS
2026-03-06,3010 McKinley Ave,76103,270000,3,2,1420,2160,143,PASS
2026-03-06,3921 Seven Gables St,76111,228000,3,1,1121,1824,206,PASS
2026-03-06,3544 Wosley Dr,76116,335000,3,2,1688,2680,45,PASS
2026-03-06,4728 Trail Lake Dr,76134,175000,2,1,1545,1400,288,PASS
2026-03-06,2206 Chestnut Ave,76164,160000,2,1,1113,1700,512,PASS
2026-03-06,3608 Stanley Ave,76110,149900,2,1,988,1800,595,PASS
2026-03-06,2705 NW 34th St,76106,134000,2,1,887,1700,657,PASS
2026-03-06,5220 Royal Burgess Dr,76135,269900,3,2,1462,2400,91,PASS,PRICE_CUT
2026-03-06,2333 N Chandler Dr E,76106,200000,3,1,1200,1824,200,PASS
2026-03-06,5544 Dunson Dr,76148,265000,3,2,1187,1750,117,PASS,PRICE_CUT
2026-03-06,2333 N Chandler Dr E,76103,200000,3,1,1200,1800,257,PASS,NEW
2026-03-06,5504 Wheaton Dr,76133,265000,3,2,1400,2100,77,PASS,NEW
2026-03-06,1213 Oryx Dr,76036,247999,3,2,1260,1950,182,PASS,PRICE_CUT
2026-03-06,5613 Westcreek Dr,76133,240000,4,2,1690,2400,257,PASS,NEW
2026-03-06,5917 Whispering Ln,76148,269000,3,2,1194,169000,183,PASS,NEW
2026-03-07,551 Rockledge Dr,76179,249900,3,2,1436,149900,166,PASS,NEW
2026-03-07,5828 Wales Ave,33109,240000,3,2,1615,140000,625,PASS,NEW
2026-03-07,4512 Fair Park Blvd,76115,239999,3,2,1372,139999,631,PASS,PRICE_CUT
2026-03-07,5332 Gordon Ave,76115,260000,3,3,1713,160000,520,PASS,PRICE_CUT
2026-03-07,820 Marion Ave,76104,240000,2,1,1458,1458,-1,FAIL,NEW
2026-03-07,3950 Marks Pl,76116,155000,2,1,946,946,2,PASS,NEW
2026-03-07,1532 E Myrtle St,76104,184990,2,1,1100,1100,1,PASS,NEW
2026-03-07,102 S Sheppard Dr,76040,224000,2,1,963,963,-2,FAIL,PRICE_CUT
2026-03-07,3297 Todd Ave,76110,155000,2,1,710,710,1,PASS,PRICE_CUT
2026-03-07,9944 Long Rifle Dr,76108,260000,3,2,1230,1230,-269,-3,FAIL,NEW
2026-03-07,3412 Ryan Ave,76110,185000,2,1,916,916,-11,0,FAIL,OPEN_HOUSE
2026-03-07,5213 Rugged Ave,76179,267500,3,2,1462,1462,-194,-2,FAIL,NEW
2026-03-07,5520 Trail Lake Dr,76133,225000,3,2,1133,1133,-124,-1,FAIL,PRICE_CUT
2026-03-07,1201 Tufted Dr,76134,255199,3,2,1260,1260,-227,-3,FAIL,NEW
2026-03-07,1213 Oryx Dr,76134,255000,3,2,1260,1260,-226,-3,FAIL,PRICE_CUT
2026-03-07,7417 Glen Haven Dr,76133,161000,3,2,1000,1000,163,2,PASS,NEW
2026-03-07,2812 Cordone St,76133,185000,3,2,1174,1174,118,1,PASS,NEW
2026-03-07,5261 Trail Lake Dr,76133,250000,3,2,1294,1294,-181,-2,FAIL,NEW
2026-03-07,2812 Cordone Street,76133,185000,3,2,1174,1174,118,1,PASS,DFW_SCRAPE
2026-03-07,3055 Casita Court,76116,259000,5,2,1838,1838,41,0,PASS,DFW_SCRAPE
2026-03-07,5321 Wolens Way,76133,250000,3,2,1915,1915,129,2,PASS,DFW_SCRAPE
2026-03-07,5504 Wheaton Drive,76133,155000,5,2,1127,1127,260,3,PASS,DFW_SCRAPE
2026-03-07,5001 Meadowbrook Drive,76103,215000,4,4,2219,2219,474,6,PASS,DFW_SCRAPE
2026-03-07,5613 Westcreek Drive,76133,240000,4,2,1690,1690,72,1,PASS,DFW_SCRAPE
2026-03-07,7419 Lemonwood Lane,76133,259000,3,3,2059,2059,151,2,PASS,DFW_SCRAPE
2026-03-07,4113 Ave Avenue N,76105,125000,3,2,1505,1505,614,7,PASS,DFW_SCRAPE
2026-03-07,900 Rose Crystal Way,76179,255000,4,2,2091,2091,190,2,PASS,DFW_SCRAPE
2026-03-07,2813 E Rosedale Street,76105,175000,2,2,1376,1376,274,3,PASS,DFW_SCRAPE
2026-03-07,5604 Boca Raton Blvd #248,76112,110000,2,2,1069,1069,479,6,PASS,DFW_SCRAPE
2026-03-07,609 Main St,76262,270000,3,2,1314,1314,-282,-3,FAIL,NEW
2026-03-07,4813 Sandage Ave,76115,182000,3,2,1011,1011,53,1,PASS,PRICE_DROP
2026-03-08,5721 Lenore St,76133,265000,4,2,1184,1184,-319,-4,FAIL,ZILLOW_NEW
2026-03-08,8321 Cloverglen Ln,76134,260000,3,3,1858,1858,45,1,PASS,ZILLOW_NEW
2026-03-08,3001 Ross Ave,76106,219000,3,2,1232,1232,-103,-2,FAIL,PRICE_CUT
2026-03-08,405 Kimbrough St,76108,165000,3,2,1169,1800,22,1,PASS,ZILLOW_NEW
2026-03-09,5509 Westhaven Dr,76132,255000,3,2,1323,1850,-435,-5,FAIL,NEW_LISTING
2026-03-09,832 Cross Timbers Dr,76108,260000,3,2,1258,1850,-365,-4,FAIL,PRICE_CUT
2026-03-12,4805 Trail Lake Dr,76134,199000,3,2,1534,1800,372,PASS
